Mes,1999,2000,2005,2009,2012,2014,2015,2017,2018,2019,2020,2021,2022
Gener,40691,42568,48081,42003,40005,40362,47269,49370,47911,44241,43172.22,52616.62,47321.78
Febrer,39898,32201,37467,32614,43738,34834,42464,37434,39756,36826,36676.83,41036.2,39083.56
Març,34486,30212,37528,33445,39292,35179,38987,35779,39772,35154,58584.77,37235.42,38236.2
Abril,28878,29357,30311,31139,32940,31894,33686,33208,34956,34070,60676.44,34869.5,36983.43
Maig,28011,28493,29837,31297,32297,31540,32706,33673,33421,33734,35278.9,34433.53,38144.25
Juny,25938,27470,28559,29381,29362,30655,31078,32236,31970,31764,30902.14,32687.24,37158.51
Juliol,28160,27960,28647,29872,29599,30999,35628,31924,32215,33383,34871.01,35512.6,44372.99
Agost,27995,27875,27687,30224,30683,30335,31220,32356,33177,31453,36146.04,38407.14,9950.39
Setembre,25750,25686,26456,27716,28116,29087,28863,30049,30293,29665,34948.07,33128.48,
Octubre,28039,28793,29144,30764,30323,32011,31898,32680,32879,31885,40235.85,34884.36,
Novembre,29342,29113,29657,30940,31804,32466,32346,34149,34338,33523,42860,37252.16,
Desembre,33914,30663,33981,35538,34791,36468,36423,41665,37033,34582,42173.57,42558.68,
