Fecha,2015,2016,2017,2018,2019,2020,2021,2022
2020-01-01,9605,8658,10726,11204,9127,8710,10479,9933
2020-01-08,10415,8671,11414,10905,10025,9398,11862,10689
2020-01-15,10738,8791,11334,10981,10476,9917,12950,10846
2020-01-22,10625,8491,11068,10324,10141,9954,12703,11223
2020-01-29,11046,8461,10636,9893,9964,9974,11577,10895
2020-02-05,10682,8556,9660,10015,9686,9192,10375,10029
2020-02-12,10857,8479,9017,10105,9363,8839,9489,9275
2020-02-19,10580,8670,8670,9656,9216,8413,9037,8946
2020-02-26,10058,8645,8371,9599,8920,8379,8546,8633
2020-03-04,9421,8653,8213,9203,8595,8465,8325,8508
2020-03-11,8785,8811,7906,8862,8205,9481,8080,8532
2020-03-18,8379,8291,7875,8616,8027,12843,8199,8543
2020-03-25,8366,8375,7827,8628,8171,19828,8200,8504
2020-04-01,8282,7998,7814,8414,8087,20967,8079,8711
2020-04-08,7894,7859,7800,8335,8055,17325,7958,8701
2020-04-15,7855,7589,7574,8112,7801,13244,8094,8398
2020-04-22,7802,7462,7661,7735,7759,10452,7867,8507
2020-04-29,7365,7606,7520,7359,7744,9008,8067,8489
2020-05-06,7464,7374,7622,7595,7731,8458,7744,8818
2020-05-13,7543,7533,7494,7511,7536,7536,7615,8909
2020-05-20,7234,7304,7666,7527,7436,7643,7438,8223
2020-05-27,7096,7255,7092,7306,7618,7620,7355,8136
2020-06-03,7364,7576,7067,7109,7508,7144,7713,8181
2020-06-10,7152,7140,7819,7154,7016,6849,7807,9351
2020-06-17,6956,7173,7991,7713,7404,7032,7286,8568
2020-06-24,7111,7345,7137,7698,7570,7512,7555,8588
2020-07-01,8146,7505,7156,7305,8050,7635,7543,9093
2020-07-08,8351,7423,7214,7366,7463,7732,7564,10871
2020-07-15,8164,7377,7259,7186,7301,7562,8479,10956
2020-07-22,7798,7295,7110,7155,7464,7827,8367,9893
2020-07-29,7349,7425,7596,7731,7136,8589,8642,9415
2020-08-05,7219,7233,7186,8003,7317,8394,8856,9281
2020-08-12,7075,7102,7118,7194,7128,8170,8759,8063
2020-08-19,6801,7184,7219,7015,6920,7886,8219,8123
2020-08-26,6954,7100,7013,6927,6898,7954,7939,7713
2020-09-02,6603,7203,6680,6906,6904,7777,7900,7620
2020-09-09,6660,6641,6730,6834,6939,7998,7512,7586
2020-09-16,6617,6956,7091,7153,6996,8168,7435,7245
2020-09-23,6898,7036,7367,7230,7027,8064,7555,7016
2020-09-30,6813,7072,7388,7210,6978,8188,7529,
2020-10-07,7055,7036,7234,7437,7312,8593,7590,
2020-10-14,7119,7185,7392,7350,7314,8594,7745,
2020-10-21,7267,7512,7308,7327,7543,9470,8182,
2020-10-28,7392,7244,7511,7794,7698,9596,7819,
2020-11-04,7412,7775,7632,8012,7677,10316,8723,
2020-11-11,7325,8076,8063,7999,8036,10030,8786,
2020-11-18,7397,8090,8169,7932,8217,9695,8848,
2020-11-25,7849,8321,8257,7929,8328,9534,9377,
2020-12-02,8080,8124,8620,8051,8021,9541,9012,
2020-12-09,8032,8612,9262,8312,8340,9534,9489,
2020-12-16,8342,8980,9628,8427,8393,9287,9780,
2020-12-23,8031,9855,10412,8650,8333,9015,9828,
2020-12-30,8427,,,,,9524,,
